# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
WASP-23 b,Confirmed,0.884,0.099,0.088,,,,0.962,0.056,0.047,2.9444256,1.3e-06,1.1e-06,0.0376,0.0024,0.0016,0.062,inf,nan,88.39,0.45,0.79,,2010,2014-08-16,,,,,,,,,,2455320.12363,0.00013,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-23,101.1291667,-42.7619444,12.7,,,,,,,,,,,0.78,0.13,0.13,0.765,0.049,0.049,K1V,,,,5150.0,100.0,100.0,,,
WASP-24 b,Confirmed,1.071,0.038,0.036,,,,1.3,0.038,0.039,2.3412127,2e-06,2e-06,0.03651,0.00028,0.00028,0.0,,,83.64,0.29,0.29,0.000109,2010,2014-07-24,,,,,,,,,,2455081.37941,0.00017,0.00017,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,WASP-24,227.2166667,2.3433333,11.3,,,,,332.5,,,0.07,0.1,0.1,1.129,0.025,0.025,1.147,0.048,0.048,F8-9,1.6,1.6,1.6,6075.0,100.0,100.0,,,"USNO-B1.0 0923-0348089, 2MASS J15085174+0220358, TYC 339-329-1"
WASP-25 b,Confirmed,0.58,0.04,0.04,,,,1.26,0.06,0.06,3.76483,5e-05,5e-05,0.0474,0.0004,0.0004,0.0,,,87.7,0.5,0.5,0.00028,2010,2014-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,WASP-25,195.3583333,-27.5222222,11.9,,,,,169.0,,,-0.05,0.1,0.1,1.0,0.03,0.03,0.95,0.04,0.04,G4,,,,5750.0,100.0,100.0,,,
WASP-26 b,Confirmed,1.028,0.021,0.021,,,,1.281,0.075,0.075,2.7566004,6.7e-06,6.7e-06,0.03985,0.00033,0.00033,0.0,,,82.91,0.46,0.46,0.000159,2010,2014-07-24,,,,,,,,,,2455228.38842,0.00058,0.00058,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-26,4.6041667,-15.2672222,11.3,,,,,250.0,15.0,15.0,-0.02,0.09,0.09,1.12,0.03,0.03,1.34,0.06,0.06,G0,6.0,2.0,2.0,5950.0,100.0,100.0,,,
WASP-28 b,Confirmed,0.907,0.043,0.043,,,,1.213,0.042,0.042,3.40883,6e-06,6e-06,0.04469,0.00076,0.00076,0.046,0.03,0.03,88.61,0.67,0.67,0.000136,2010,2014-02-07,,,,,,,,,,2455290.40519,0.0003,0.0003,,,,8.0,18.0,18.0,,,,,,,,,,1468.0,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,WASP-28,353.6166667,-1.58,12.0,,,,,410.0,70.0,70.0,-0.29,0.1,0.1,1.021,0.05,0.05,1.094,0.031,0.031,F8-G0,5.0,3.0,2.0,6150.0,140.0,140.0,,,
WASP-29 b,Confirmed,0.242897146273,0.02010508762546,0.02010508762546,,,,0.84128975161,0.03479353161483,0.05531279384922,3.922727,4e-06,4e-06,0.0457,0.0006,0.0006,0.03,0.03,0.03,88.8,0.7,0.7,0.000571,2010,2014-05-21,,,,,,,,,,2455320.2431,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,WASP-29,357.8791667,-39.9066667,11.3,,,,,80.0,,,0.11,0.14,0.14,0.825,0.033,0.033,0.846,0.048,0.048,K4V,15.0,8.0,8.0,4800.0,150.0,150.0,,,
WASP-3 b,Confirmed,2.06,0.13,0.13,,,,1.454,0.084,0.084,1.8468372,6e-07,6e-07,0.0313,0.0001,0.0001,0.0,,,85.06,0.16,0.16,0.00014,2007,2012-11-02,,,,,,,,,,2454605.55915,0.00023,0.00023,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-3,278.6333333,35.6616667,10.64,,,,,223.0,,,0.0,0.2,0.2,1.24,0.11,0.11,1.31,0.12,0.12,F7V,,,,6400.0,100.0,100.0,,,
WASP-3 c,Unconfirmed,0.05,,,,,,,,,3.75,0.03,0.03,0.051,,,,,,,,,0.000229,2010,2012-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,WASP-3,278.6333333,35.6616667,10.64,,,,,223.0,,,0.0,0.2,0.2,1.24,0.11,0.11,1.31,0.12,0.12,F7V,,,,6400.0,100.0,100.0,,,
WASP-31 b,Confirmed,0.478,0.03,0.03,,,,1.537,0.06,0.06,3.405909,5e-06,5e-06,0.04657,0.00034,0.00034,0.0,,,84.54,0.027,0.027,0.000116,2010,2017-02-09,,,,,,,,,,2455192.6887,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,K,WASP-31,169.4375,-19.0547222,11.7,,,,,400.0,0.0,0.0,-0.19,0.09,0.09,1.16,0.026,0.026,1.24,0.04,0.04,F,,1.0,1.0,6200.0,100.0,100.0,,,
WASP-32 b,Confirmed,3.6,0.07,0.07,,,,1.18,0.07,0.07,2.71865,8e-05,8e-05,0.0394,0.0003,0.0003,0.018,0.0065,0.0065,85.3,0.5,0.5,,2010,2010-10-11,160.0,30.0,30.0,,,,,,,2455151.054,0.0005,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-32,3.9625,1.2005556,11.3,,,,,,,,-0.13,0.1,0.1,1.1,0.03,0.03,1.11,0.05,0.05,G,,,,6100.0,100.0,100.0,,,
WASP-33 b,Confirmed,2.1,0.1,0.1,,,,1.603,0.014,0.014,1.21986967,4.5e-07,4.5e-07,0.02558,0.00023,0.00023,0.0,,,87.7,1.8,1.8,0.000221,2010,2015-09-30,,,,,,,,,,2454590.17936,0.00027,0.00027,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,WASP-33,36.7125,37.5505556,8.3,,,,,116.0,16.0,16.0,0.1,0.2,0.2,1.495,0.031,0.031,1.444,0.034,0.034,A5,,,,7400.0,200.0,200.0,,,
WASP-34 b,Confirmed,0.59,0.01,0.01,,,,1.22,0.08,0.08,4.3176782,4.5e-06,4.5e-06,0.0524,0.0004,0.0004,0.038,0.012,0.012,85.2,0.2,0.2,0.000437,2010,2010-12-13,319.8,18.6,18.6,,,,,,,2454647.55358,0.00064,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-34,165.4,-23.8605556,10.4,,,,,120.0,15.0,15.0,-0.02,0.1,0.1,1.01,0.07,0.07,0.93,,,G5,,0.12,0.12,5700.0,100.0,100.0,,,
WASP-35 b,Confirmed,0.72,0.06,0.06,,,,1.32,0.03,0.03,3.161575,2e-06,2e-06,0.04317,0.00028,0.00028,0.0,,,87.96,0.25,0.25,,2011,2014-08-16,,,,,,,,,,2455531.47907,0.00015,0.00015,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-35,76.0817733399,-6.22982307041,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-36 b,Confirmed,2.279,0.068,0.068,,,,1.269,0.03,0.03,1.5373653,2.7e-06,2.7e-06,0.02624,0.00027,0.00027,0.0,,,83.65,0.22,0.22,5.8e-05,2010,2011-10-25,,,,,,,,,,2455569.83731,9.3e-05,9.3e-05,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-36,131.579166673,-8.0269444,12.7,,,,,450.0,120.0,120.0,-0.31,0.12,0.12,1.02,0.032,0.032,0.943,0.019,0.019,G2,3.0,2.0,2.0,5881.0,138.0,138.0,,,
WASP-37 b,Confirmed,1.8,0.17,0.17,,,,1.16,0.06,0.07,3.577471,1.1e-05,1.1e-05,0.04339,0.00152,0.00152,0.0,,,88.78,0.83,0.83,0.000128,2010,2014-05-23,,,,,,,,,,2455338.6189,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,WASP-37,221.9458333,1.065,12.7,,,,,338.0,41.0,41.0,-0.4,0.12,0.12,0.849,0.04,0.04,0.977,0.042,0.042,G2,11.0,4.0,4.0,5800.0,150.0,150.0,,,
WASP-38 b,Confirmed,2.712,0.065,0.065,,,,1.079,0.044,0.044,6.871815,4.2e-05,4.2e-05,0.07551,0.00085,0.00085,0.0321,0.0044,0.0044,88.69,0.55,0.55,0.000686,2010,2012-04-08,341.0,-16.0,-16.0,,,,,,,2455335.9205,0.00074,0.00074,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-38,243.9583333,10.0325,9.42,,,,,110.0,20.0,20.0,-0.12,0.07,0.07,1.216,0.041,0.041,1.365,0.041,0.041,F8,5.0,nan,inf,6150.0,80.0,80.0,,,
WASP-39 b,Confirmed,0.28,0.03,0.03,,,,1.27,0.04,0.04,4.055259,9e-06,9e-06,0.0486,0.0005,0.0005,0.0,,,87.83,0.25,0.25,0.000211,2011,2017-11-30,,,,,,,,,,2455342.9688,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,H2O,WASP-39,217.325,-3.4444444,12.11,,,,,230.0,80.0,80.0,-0.12,0.1,0.1,0.93,0.03,0.03,0.895,0.023,0.023,G8,,,,5400.0,150.0,150.0,,,
WASP-4 b,Confirmed,1.237,0.062,0.059,,,,1.395,0.022,0.022,1.33823187,2.5e-07,2.5e-07,0.02312,0.00033,0.00033,0.0,,,88.8,0.43,0.61,7.7e-05,2007,2014-05-28,,,,,,,,,,2454823.59192,2.8e-05,2.8e-05,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,WASP-4,353.5625,-42.0613889,12.6,,,,,300.0,50.0,50.0,-0.03,0.09,0.09,0.93,0.05,0.05,1.15,0.28,0.28,G8,,,,5500.0,100.0,100.0,,,
WASP-41 b,Confirmed,0.94,0.05,0.05,0.94,0.05,0.05,1.18,0.03,0.03,3.052404,9e-07,9e-07,0.04,0.001,0.001,0.026,0.026,0.0,89.4,0.3,0.3,0.000222,2010,2015-09-28,,,,,,,,,,2456014.9936,0.0001,0.0001,,,,29.0,10.0,14.0,0.1,0.06,0.06,,,,138.0,2.0,2.0,1244.0,,,,,,,,,Announced on a professional conference,Primary Transit,Radial Velocity,Primary Transit,,,WASP-41,190.618737509,-30.6398750179,11.6,,,,,180.0,60.0,60.0,-0.08,0.09,0.09,0.95,0.09,0.09,1.01,0.26,0.26,G8V,,,,5450.0,150.0,150.0,,,
